"Gene","mean_Control","mean_GHR-KO","sd_Control","sd_GHR-KO","Cohens.d_genotype","mean_Female","mean_Male","sd_Female","sd_Male","Cohens.d_sex","anova_p_val_genotype","anova_p_val_sex","anova_p_val_genotype:sex","adjusted_p_val_genotype","adjusted_p_val_sex","adjusted_p_val_genotype:sex","4721","4945","4715","4718","4524","4722","4716","4717","THSD_pair"
"ACSL1",26.473566055,26.7542352675,0.150747377045309,0.203109000604467,1.56925787157734,26.651150705,26.5766506175,0.303752963539661,0.143278763809229,-0.313709374935363,0.123251679205511,0.632396532157708,0.583312406892507,0.507214583964563,0.874470853072911,0.846318761183208,26.61428261,27.05455208,26.69776535,26.65034103,26.31699944,26.61876869,26.58534431,26.37315178,NA
"ACSL3",26.379915235,27.7805943475,0.668343423402095,0.286330599280048,2.72434484523843,26.943279265,27.2172303175,1.21494353704797,0.557209305521323,0.289853101363169,0.0126066943399682,0.447297424461536,0.170856815882161,0.188549302778651,0.769348193147161,0.567462623566243,27.95482445,27.87490463,27.35422134,27.93842697,25.40197563,26.54141235,26.89839172,26.67788124,NA
"ACSL6",26.7346458425,27.3236474975,2.03191744086432,2.24245454022125,0.275263107714174,25.6596913325,28.3986020075,2.08610159351763,0.188852241042097,1.84920493092314,0.64838946540807,0.0839841599212749,0.584428174879214,0.880633747392802,0.429386013146692,0.846318761183208,23.9714756,28.64787292,28.47707367,28.1981678,25.47403717,24.54537964,28.62271881,28.29644775,NA
"ACSS3",27.662655355,27.8643703425,0.148874596073338,0.114544290561204,1.51867209664268,27.69160938,27.8354163175,0.165836380018336,0.145331811812076,0.922303335658568,0.0655581942596499,0.147176896145785,0.369416822491392,0.390071255844917,0.537853179254474,0.722545348563068,27.8649044,27.80100822,28.02495956,27.76660919,27.53371048,27.56681442,27.68725777,27.86283875,NA
"ACTC1",33.0974025725,33.06651306,0.219924857801711,0.13642479363951,-0.168794309304421,33.1697454425,32.99417019,0.148241043065376,0.158392726088059,-1.14455176352397,0.823102126149101,0.246450185012107,0.71214365923171,0.947482002480483,0.64002211050582,0.90541853337988,33.22647476,33.13341522,32.94872665,32.95743561,33.33444595,32.98464584,33.22029114,32.85022736,NA
"ACTG1",35.759975435,35.9865417475,0.0873895203987022,0.054997276135383,3.10311991217383,35.8798828125,35.86663437,0.133879218861001,0.163836804684142,-0.0885533469235123,0.0192393485337465,0.835388519186846,0.547728341481958,0.228948247551583,0.950888063637907,0.827351625678001,35.90956497,36.03757858,36.00969696,35.98932648,35.85853577,35.71385193,35.80337906,35.66413498,NA
"ACTL6A",26.8466596625,27.3207559575,0.249767494451877,0.0793647173464747,2.55834036573812,27.0125627525,27.1548528675,0.363741750482541,0.269669634931634,0.444407380338334,0.0299128697697825,0.377935623757892,0.916853282195272,0.278387539535987,0.728931704762611,0.975311781621335,27.25610924,27.25907707,27.3456192,27.42221832,27.0474968,26.4875679,26.97749138,26.87408257,NA
"ACTN1",29.9833679175,30.3554654125,0.131984466205836,0.172048423693774,2.42676570168899,30.236288545,30.102544785,0.241600971202538,0.262733639059346,-0.529912082517173,0.0289478726927913,0.296697473356568,0.655912413533188,0.274469956905899,0.678130066198049,0.884472468842065,30.20513153,30.58593559,30.24513245,30.38566208,30.05284309,30.10124397,29.97910118,29.80028343,NA
"ACTN4",31.717342855,31.90721464,0.136592736134865,0.0628656954869163,1.78578145018159,31.869077205,31.75548029,0.0994239099213042,0.167797242123351,-0.823674101622785,0.0276731304657027,0.112876789829946,0.177257596116251,0.266070344559585,0.486781156141644,0.574617750861093,31.84322357,31.99304008,31.88743591,31.905159,31.88638306,31.75366211,31.66462708,31.56469917,NA
"ACTR10",25.30556631,25.190882205,0.0633806703056345,0.105484402166257,-1.31794396352246,25.24802303,25.248425485,0.104611486191313,0.113880171256275,0.00368062901422524,0.149231414434222,0.995308348091252,0.289497471819279,0.540780560831292,0.999059709052818,0.672331645288031,25.1152935,25.34455299,25.12943459,25.17424774,25.31731033,25.2149353,25.3278656,25.36215401,NA
